cell_id,Roads:number_intersections,Roads:diversity,Roads:total,Buildings:diversity,Buildings:total,LandUse:Mix,TrafficPoints:crossing,poisAreas:area_park,poisAreas:area_pitch,pois:diversity,pois:total,ThirdPlaces:oa_count,ThirdPlaces:edt_count,ThirdPlaces:out_count,ThirdPlaces:cv_count,ThirdPlaces:diversity,ThirdPlaces:total,vertical_density,buildings_age,buildings_age:diversity,most_present_age
3417_2_0_0,0.912726855,1.255158247,1.473536345,1.154453429,0.060221153,5.92E-10,0.003763822,2.38E-07,2.59E-09,4.352943972,0.107268929,0.001881911,0.028228666,0.028228666,0.022582932,0.002217645,0.080922175,2.024865591,30.43380376,1.774624262,age_under_18
3417_3_1_1,0.700070907,1.339932314,1.131028535,1.063158428,0.10915084,1.12E-09,0.016937199,4.58E-09,4.85E-09,4.510324879,0.225829325,0.007527644,0.07151262,0.03575631,0.082804086,0.002194554,0.197600659,2.315489749,34.50626424,1.58601096,age_over_60
3417_3_1_2,0.105387018,1.569802942,0.222065503,0.119246926,0.073394531,1.17E-10,0.001881911,0,5.06E-10,1.348628954,0.024464844,0,0.003763822,0.007527644,0,0.001197863,0.011291466,1.701375246,32.2151277,1.551976574,age_over_60
3417_3_1_3,0.178781549,1.26782244,0.312397233,0,0.009409555,1.09E-09,0,0,0,0,0,0,0,0,0,0,0,1.73880597,32.45895522,1.378183475,age_over_60
3417_3_1_0,0.028228666,1.482697248,0.065866886,0,0.001881911,2.20E-09,0,0,0,0,0,0,0,0,0,0,0,1.853503185,41.45541401,1.747070694,age_over_60
3417_3_2,0.140202373,1.413088491,0.234768402,0.38454292,0.014584811,2.78E-10,0,1.36E-09,7.84E-11,2.872484865,0.007527644,0,0.000940956,0.001411433,0.000940956,0.000507642,0.003293344,1.614310646,34.20593368,1.481087342,age_30_40
3417_3_3,0.158551005,1.37636822,0.269113279,1.194506313,0.0084686,2.47E-11,0,0,0,1.483478055,0.009880033,0,0.001881911,0,0.000470478,0.000235428,0.002352389,2.132315522,41.64122137,1.794100609,age_under_18
3417_3_0,0.105387018,1.317161492,0.183956804,0.562335145,0.001881911,3.59E-10,0,0,1.71E-10,1.314233555,0.0084686,0.000940956,0.000470478,0.002352389,0,0.00042355,0.003763822,2.348769899,33.09261939,1.727386574,age_under_18
3417_0_1,0.14914145,1.362053094,0.241355091,0.031746149,0.093154597,2.22E-09,0.000470478,0,0,2.820261477,0.073865008,0.000470478,0.007057166,0.000940956,0.061162109,0.000205996,0.069630709,2.1,43.5,0.943348392,age_over_60
3417_0_2,0.209833081,1.51369208,0.356151664,0.895332666,0.006586689,1.56E-09,0.000470478,0,0,4.330986024,0.035285832,0.002822867,0.006116211,0.001881911,0.002822867,0.000604498,0.013643855,1.861003861,35.98359073,1.589837627,age_under_18
